ID;Nome;Modalidade ID;Frequência;Preço;Duração (Meses);Aulas/Semana
504;"Natação Infantil e Adulto 5x na semana";15;Mensal;289.30;1;5
505;"Natação Infantil e Adulto 5x na semana";15;Semestral;267.30;6;5
496;"Natação bebê ";13;Mensal;170.50;1;1
497;"Natação bebê ";13;Semestral;154.00;6;1
559;"Hidroginástica 5x na semana";16;Anual;207.90;12;5
558;"Hidroginástica 5x na semana";16;Trimestral;233.20;3;5
557;"Hidroginástica 4x na semana";16;Anual;184.80;12;4
556;"Hidroginástica 4x na semana";16;Trimestral;216.70;3;4
555;"Hidroginástica 3x na semana";16;Anual;170.50;12;3
498;"Natação Infantil e Adulto 1x na semana";15;Mensal;133.20;1;1
499;"Natação Infantil e Adulto 1x na semana";15;Semestral;118.80;6;1
500;"Natação Infantil e Adulto 2x na semana";15;Mensal;193.60;1;2
501;"Natação Infantil e Adulto 2x na semana";15;Semestral;170.50;6;2
502;"Natação Infantil e Adulto 3x na semana";15;Mensal;222.20;1;3
503;"Natação Infantil e Adulto 3x na semana";15;Semestral;200.20;6;3
508;"Hidroginástica 3ª idade 1x na semana";9;Mensal;89.10;1;1
509;"Hidroginástica 3ª idade 1x na semana";9;Semestral;82.50;6;1
510;"Hidroginástica 3ª idade 2x na semana";9;Mensal;128.70;1;2
511;"Hidroginástica 3ª idade 2x na semana";9;Semestral;118.80;6;2
512;"Hidroginástica 3ª idade 3x na semana";9;Mensal;139.70;1;3
513;"Hidroginástica 3ª idade 3x na semana";9;Semestral;128.70;6;3
514;"Hidroginástica 3ª idade 4x na semana";9;Mensal;156.20;1;4
515;"Hidroginástica 3ª idade 4x na semana";9;Semestral;140.80;6;4
516;"Hidroginástica 3ª idade 5x na semana";9;Mensal;169.40;1;5
517;"Hidroginástica 3ª idade 5x na semana";9;Semestral;156.20;6;5
518;"Hidroginástica 1x na semana";16;Mensal;126.50;1;1
519;"Hidroginástica 1x na semana";16;Semestral;110.10;6;1
520;"Hidroginástica 2x na semana";16;Mensal;178.20;1;2
521;"Hidroginástica 2x na semana";16;Semestral;162.80;6;2
522;"Hidroginástica 3x na semana";16;Mensal;200.20;1;3
523;"Hidroginástica 3x na semana";16;Semestral;178.20;6;3
524;"Hidroginástica 4x na semana";16;Mensal;222.20;1;4
525;"Hidroginástica 4x na semana";16;Semestral;207.90;6;4
526;"Hidroginástica 5x na semana";16;Mensal;245.30;1;5
527;"Hidroginástica 5x na semana";16;Semestral;222.20;6;5
528;"Natação bebê";13;Trimestral;162.80;3;1
529;"Natação bebê";13;Anual;140.80;12;1
530;"Natação Infantil e Adulto 1x na semana";15;Trimestral;125.40;3;1
531;"Natação Infantil e Adulto 1x na semana";15;Anual;104.50;12;1
532;"Natação Infantil e Adulto 2x na semana";15;Trimestral;181.50;3;2
533;"Natação Infantil e Adulto 2x na semana";15;Anual;162.80;12;2
534;"Natação Infantil e Adulto 3x na semana";15;Trimestral;211.20;3;3
535;"Natação Infantil e Adulto 3x na semana";15;Anual;184.80;12;3
536;"Natação Infantil e Adulto 5x na semana";15;Trimestral;277.20;3;5
537;"Natação Infantil e Adulto 5x na semana";15;Anual;245.30;12;5
540;"Hidroginástica 3ª idade 1x na semana";9;Trimestral;85.80;3;1
541;"Hidroginástica 3ª idade 1x na semana";9;Anual;73.70;12;1
542;"Hidroginástica 3ª idade 2x na semana";9;Trimestral;122.10;3;2
543;"Hidroginástica 3ª idade 2x na semana";9;Anual;104.50;12;2
544;"Hidroginástica 3ª idade 3x na semana";9;Trimestral;134.20;3;3
545;"Hidroginástica 3ª idade 3x na semana";9;Anual;118.80;12;3
546;"Hidroginástica 3ª idade 4x na semana";9;Trimestral;146.30;3;4
547;"Hidroginástica 3ª idade 4x na semana";9;Anual;133.10;12;4
548;"Hidroginástica 3ª idade 5x na semana";9;Trimestral;162.80;3;5
549;"Hidroginástica 3ª idade 5x na semana";9;Anual;140.80;12;5
550;"Hidroginástica 1x na semana";16;Trimestral;118.80;3;1
551;"Hidroginástica 1x na semana";16;Anual;95.70;12;1
552;"Hidroginástica 2x na semana";16;Trimestral;170.50;3;2
553;"Hidroginástica 2x na semana";16;Anual;147.40;12;2
554;"Hidroginástica 3x na semana";16;Trimestral;189.20;3;3